SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND
2000217N11342,2000,NA,NA,ALBERTO,7/08/2000 12:00,16.2,-41, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,7/08/2000 15:00,16.3496,-41.6, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,7/08/2000 18:00,16.5,-42.2, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,7/08/2000 21:00,16.6,-42.8927, ,HU,77
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 0:00,16.7,-43.6, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 3:00,16.8125,-44.2952, ,HU,72
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 6:00,17,-44.9, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 9:00,17.3047,-45.3377, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 12:00,17.7,-45.7, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 15:00,18.1275,-46.1076, ,HU,67
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 18:00,18.6,-46.5, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,8/08/2000 21:00,19.0921,-46.8132, ,HU,62
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 0:00,19.6,-47.2, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 3:00,20.0776,-47.7979, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 6:00,20.6,-48.5, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 9:00,21.2123,-49.193, ,TS,57
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 12:00,21.9,-49.9, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 15:00,22.6423,-50.6078, ,TS,57
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 18:00,23.4,-51.3, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,9/08/2000 21:00,24.1145,-51.9509, ,TS,62
