Date,Time,ID,cluster_center_x,cluster_center_y,Intensity,DAV Values
2021-08-01,00:00:00,0,268.8837209302326,3.988372093023256,52.221831745345256,2309.3107188316962
2021-08-01,00:00:00,1,319.05555555555554,95.62962962962963,48.95305304571343,2390.7369556415297
2021-08-01,00:00:00,2,17.866071428571427,225.19345238095238,49.20378659641594,2384.1782991249233
2021-08-01,01:00:00,0,269.24050632911394,3.2379746835443037,52.0863604764301,2312.5230720684617
2021-08-01,01:00:00,1,317.625,90.83928571428571,48.92433986077816,2391.4916612487
2021-08-01,01:00:00,2,22.041284403669724,226.2018348623853,50.15819512091022,2359.7155058427993
2021-08-01,02:00:00,0,266.7175572519084,2.9618320610687023,50.69537165837709,2346.2803772868674
2021-08-01,02:00:00,0,291.344262295082,1.721311475409836,49.35835012758124,2380.163234667909
2021-08-01,02:00:00,1,309.0248962655602,93.56846473029046,51.00174090798538,2338.720233865006
2021-08-01,02:00:00,2,9.609375,212.53125,49.09060817209139,2387.131796947549
2021-08-01,02:00:00,2,11.80408163265306,225.9265306122449,50.53763043408154,2350.201584171326
2021-08-01,03:00:00,0,275.7216494845361,2.9003436426116838,49.69396121760914,2371.517105693296
2021-08-01,03:00:00,2,9.752,227.632,49.444314368426184,2377.9392692612546
2021-08-01,04:00:00,0,266.70940170940173,2.4444444444444446,51.94249241660653,2315.948701424794
2021-08-01,04:00:00,3,108.7926267281106,109.38248847926268,49.44937366567484,2377.808582574148
2021-08-01,04:00:00,4,380.9642857142857,186.75,48.8747737857024,2392.7962420799977
2021-08-01,04:00:00,2,8.930555555555555,228.40277777777777,49.49123742494574,2376.728056191221
2021-08-01,05:00:00,0,260.3021582733813,1.3884892086330936,52.10967335064282,2311.9693493066848
2021-08-01,05:00:00,3,110.15853658536585,111.71951219512195,49.56550085334064,2374.8150228681766
2021-08-01,05:00:00,5,372.05102040816325,126.53061224489795,49.13485063486994,2385.9758821455903
2021-08-01,05:00:00,6,286.48924731182797,212.9005376344086,50.79899775148067,2343.7150638001194
2021-08-01,06:00:00,0,277.53809523809525,1.8142857142857143,51.52908238963047,2325.875063219356
2021-08-01,06:00:00,5,369.98615916955015,125.14532871972318,50.52429343169905,2350.5340276422553
2021-08-01,06:00:00,4,377.712,182.784,49.160950373583304,2385.2948022704854
2021-08-01,06:00:00,6,280.2910344827586,207.9641379310345,51.42947156877324,2328.28547163093
2021-08-01,07:00:00,3,104.55652173913043,111.80869565217391,49.6265837458283,2373.245094784082
2021-08-01,07:00:00,5,366.2197802197802,120.58241758241758,50.46156467690449,2352.0995362130384
2021-08-01,07:00:00,4,383.09090909090907,162.2077922077922,49.20722282330169,2384.088806639696
2021-08-01,07:00:00,4,381.6057692307692,184.35576923076923,50.35937957630432,2354.6565145974805
2021-08-01,07:00:00,6,278.5586956521739,203.24347826086955,49.695674232104224,2371.473223729457
2021-08-01,08:00:00,5,365.3801652892562,119.22314049586777,49.23768095297185,2383.296019975845
2021-08-01,08:00:00,4,380.9183673469388,168.08454810495627,49.61547047409958,2373.5304844658926
2021-08-01,08:00:00,6,279.93046357615896,206.09933774834437,50.88257887265334,2341.6520822205766
2021-08-01,09:00:00,0,260.7931034482759,1.1810344827586208,50.55173249430196,2349.8502247887836
2021-08-01,09:00:00,5,374.98552472858864,140.43425814234016,51.363838861405554,2329.877689349065
2021-08-01,09:00:00,6,278.4183381088825,202.7077363896848,50.89644091788239,2341.3104583845106
2021-08-01,10:00:00,7,298.14814814814815,80.80041152263375,50.158597795822104,2359.7053471044474
2021-08-01,10:00:00,3,130.41935483870967,105.41935483870968,48.71513106335547,2397.0134014923865
2021-08-01,10:00:00,5,374.82290562036053,131.03605514316013,55.19974709371212,2241.712493098702
2021-08-01,10:00:00,6,282.96963946869073,207.57685009487665,51.28319548630719,2331.838460022879
2021-08-01,11:00:00,5,376.0721088435374,130.49115646258502,50.4707930899921,2351.869026987269
2021-08-01,12:00:00,7,289.53418803418805,85.32905982905983,48.76601622492633,2395.666650797212
2021-08-01,12:00:00,5,376.48625,126.205,52.4238393468437,2304.544365329119
2021-08-01,12:00:00,8,379.85,226.82,49.72841402839957,2370.635016265709
2021-08-01,13:00:00,5,373.403550295858,125.5905325443787,51.60133986648941,2324.131133179515
2021-08-01,13:00:00,2,11.790697674418604,228.03488372093022,51.23957968751651,2332.9009710685546
2021-08-01,14:00:00,5,373.9869513641756,126.15895610913404,52.55491109084811,2301.4667580595487
2021-08-01,14:00:00,8,380.7859922178988,219.86770428015564,51.521798616613516,2326.0510695800513
2021-08-01,15:00:00,5,374.2998921251348,130.0,54.805512588135315,2250.3518163604913
2021-08-01,16:00:00,5,373.13784021071115,128.92010535557506,61.62056277196692,2111.760798933939
2021-08-01,16:00:00,8,380.3576158940397,218.72185430463577,51.61877772533978,2323.710844815337
2021-08-01,17:00:00,5,372.8057065217391,127.00679347826087,52.166092507858636,2310.6308739718324
2021-08-01,17:00:00,8,380.69767441860466,215.47093023255815,51.019116530317405,2338.293639405491
2021-08-01,17:00:00,2,16.33986928104575,224.0718954248366,49.40235949368969,2379.0238673725394
2021-08-01,18:00:00,5,368.9137529137529,125.46620046620046,51.348830003533166,2330.2422477979194
2021-08-01,18:00:00,8,383.747572815534,216.3009708737864,49.658912636027175,2372.415489693101
2021-08-01,19:00:00,5,369.46070460704607,123.52574525745257,51.079985197570664,2336.8010569924754
2021-08-01,19:00:00,4,384.2,210.23333333333332,49.38279088396757,2379.530273135596
2021-08-01,19:00:00,2,11.102564102564102,225.23076923076923,49.885079487377894,2366.636654221611
