Date,Time,ID,cluster_center_x,cluster_center_y
2021-08-01,00:00:00,0,268.8837209302326,3.988372093023256
2021-08-01,00:00:00,1,319.05555555555554,95.62962962962963
2021-08-01,00:00:00,2,17.866071428571427,225.19345238095238
2021-08-01,01:00:00,0,269.24050632911394,3.2379746835443037
2021-08-01,01:00:00,1,317.625,90.83928571428571
2021-08-01,01:00:00,2,22.041284403669724,226.2018348623853
2021-08-01,02:00:00,0,266.7175572519084,2.9618320610687023
2021-08-01,02:00:00,0,291.344262295082,1.721311475409836
2021-08-01,02:00:00,1,309.0248962655602,93.56846473029046
2021-08-01,02:00:00,2,9.609375,212.53125
2021-08-01,02:00:00,2,11.80408163265306,225.9265306122449
2021-08-01,03:00:00,0,275.7216494845361,2.9003436426116838
2021-08-01,03:00:00,2,9.752,227.632
2021-08-01,04:00:00,0,266.70940170940173,2.4444444444444446
2021-08-01,04:00:00,3,108.7926267281106,109.38248847926268
2021-08-01,04:00:00,4,380.9642857142857,186.75
2021-08-01,04:00:00,2,8.930555555555555,228.40277777777777
2021-08-01,05:00:00,0,260.3021582733813,1.3884892086330936
2021-08-01,05:00:00,3,110.15853658536585,111.71951219512195
2021-08-01,05:00:00,5,372.05102040816325,126.53061224489795
2021-08-01,05:00:00,6,286.48924731182797,212.9005376344086
2021-08-01,06:00:00,0,277.53809523809525,1.8142857142857143
2021-08-01,06:00:00,5,369.98615916955015,125.14532871972318
2021-08-01,06:00:00,4,377.712,182.784
2021-08-01,06:00:00,6,280.2910344827586,207.9641379310345
2021-08-01,07:00:00,3,104.55652173913043,111.80869565217391
2021-08-01,07:00:00,5,366.2197802197802,120.58241758241758
2021-08-01,07:00:00,4,383.09090909090907,162.2077922077922
2021-08-01,07:00:00,4,381.6057692307692,184.35576923076923
2021-08-01,07:00:00,6,278.5586956521739,203.24347826086955
2021-08-01,08:00:00,5,365.3801652892562,119.22314049586777
2021-08-01,08:00:00,4,380.9183673469388,168.08454810495627
2021-08-01,08:00:00,6,279.93046357615896,206.09933774834437
2021-08-01,09:00:00,0,260.7931034482759,1.1810344827586208
2021-08-01,09:00:00,5,374.98552472858864,140.43425814234016
2021-08-01,09:00:00,6,278.4183381088825,202.7077363896848
2021-08-01,10:00:00,7,298.14814814814815,80.80041152263375
2021-08-01,10:00:00,3,130.41935483870967,105.41935483870968
2021-08-01,10:00:00,5,374.82290562036053,131.03605514316013
2021-08-01,10:00:00,6,282.96963946869073,207.57685009487665
2021-08-01,11:00:00,5,376.0721088435374,130.49115646258502
2021-08-01,12:00:00,7,289.53418803418805,85.32905982905983
2021-08-01,12:00:00,5,376.48625,126.205
2021-08-01,12:00:00,8,379.85,226.82
2021-08-01,13:00:00,5,373.403550295858,125.5905325443787
2021-08-01,13:00:00,2,11.790697674418604,228.03488372093022
2021-08-01,14:00:00,5,373.9869513641756,126.15895610913404
2021-08-01,14:00:00,8,380.7859922178988,219.86770428015564
2021-08-01,15:00:00,5,374.2998921251348,130.0
2021-08-01,16:00:00,5,373.13784021071115,128.92010535557506
2021-08-01,16:00:00,8,380.3576158940397,218.72185430463577
2021-08-01,17:00:00,5,372.8057065217391,127.00679347826087
2021-08-01,17:00:00,8,380.69767441860466,215.47093023255815
2021-08-01,17:00:00,2,16.33986928104575,224.0718954248366
2021-08-01,18:00:00,5,368.9137529137529,125.46620046620046
2021-08-01,18:00:00,8,383.747572815534,216.3009708737864
2021-08-01,19:00:00,5,369.46070460704607,123.52574525745257
2021-08-01,19:00:00,4,384.2,210.23333333333332
2021-08-01,19:00:00,2,11.102564102564102,225.23076923076923
2021-08-01,20:00:00,5,365.0417335473515,124.04494382022472
2021-08-01,20:00:00,2,8.851851851851851,225.76296296296297
2021-08-01,21:00:00,9,3.3125,16.580357142857142
2021-08-01,21:00:00,4,382.91052631578947,206.06315789473683
2021-08-01,22:00:00,9,3.1991341991341993,15.025974025974026
2021-08-01,22:00:00,5,364.568345323741,120.99280575539568
2021-08-01,22:00:00,4,382.3080568720379,209.36966824644549
2021-08-01,23:00:00,9,2.5949367088607596,12.639240506329115
2021-08-01,23:00:00,4,381.9671052631579,208.25986842105263
2021-08-02,00:00:00,9,1.2586206896551724,10.310344827586206
2021-08-02,00:00:00,10,163.91417910447763,13.895522388059701
2021-08-02,00:00:00,4,380.91317365269464,206.23952095808383
2021-08-02,01:00:00,9,3.06,9.053333333333333
2021-08-02,01:00:00,4,381.04522613065325,209.45226130653268
2021-08-02,02:00:00,9,3.5141242937853105,10.282485875706215
2021-08-02,02:00:00,4,381.62269129287597,209.74934036939314
2021-08-02,03:00:00,9,3.4324324324324325,8.20945945945946
2021-08-02,03:00:00,4,382.88796680497927,208.70954356846474
2021-08-02,04:00:00,9,3.4823529411764707,9.68235294117647
2021-08-02,04:00:00,10,156.6451612903226,2.064516129032258
2021-08-02,04:00:00,4,384.24264705882354,211.13970588235293
2021-08-02,05:00:00,9,4.611940298507463,12.552238805970148
2021-08-02,05:00:00,3,121.25777777777778,109.15555555555555
2021-08-02,05:00:00,4,381.74587458745873,208.75907590759076
2021-08-02,06:00:00,9,4.17004048582996,13.097165991902834
2021-08-02,06:00:00,4,380.1460957178841,190.97732997481108
2021-08-02,08:00:00,3,125.59615384615384,109.29807692307692
2021-08-02,09:00:00,3,115.06941838649156,108.72232645403378
2021-08-02,09:00:00,11,377.8757062146893,150.92655367231637
2021-08-02,10:00:00,0,250.18965517241378,1.0689655172413792
2021-08-02,10:00:00,0,271.5164835164835,2.7142857142857144
2021-08-02,10:00:00,3,121.42171717171718,108.95959595959596
